Date : 2020-12-06 22:14:18
Directory : d:\muyuan\my-iot-platform-frontend
Total : 3121 files,  3087267 codes, 169382 comments, 88406 blanks, all 3345055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\views\IntelligentControl\baseInfo\page                                                                                                                                                       |         25 |     10,336 |      1,053 |         99 |     11,488 |
| src\views\IntelligentControl\baseInfo\page\components                                                                                                                                            |          4 |        512 |         46 |         27 |        585 |
| src\views\IntelligentControl\baseInfo\page\components\navForm                                                                                                                                    |          4 |        512 |         46 |         27 |        585 |
| src\views\IntelligentControl\baseInfo\page\subpage                                                                                                                                               |         20 |      9,819 |      1,007 |         71 |     10,897 |
| src\views\IntelligentControl\baseInfo\page\subpage\alarmManagement                                                                                                                               |          3 |      1,106 |        134 |         16 |      1,256 |
| src\views\IntelligentControl\baseInfo\page\subpage\alarmManagement\subpage                                                                                                                       |          2 |      1,101 |        134 |         15 |      1,250 |
| src\views\IntelligentControl\baseInfo\page\subpage\alarmManagement\subpage\durationConfiguration                                                                                                 |          1 |        205 |         15 |          8 |        228 |
| src\views\IntelligentControl\baseInfo\page\subpage\alarmManagement\subpage\targetMaintenance                                                                                                     |          1 |        896 |        119 |          7 |      1,022 |
| src\views\IntelligentControl\baseInfo\page\subpage\controllerMaintain                                                                                                                            |          3 |      1,775 |        132 |         10 |      1,917 |
| src\views\IntelligentControl\baseInfo\page\subpage\controllerMaintain\subpage                                                                                                                    |          2 |      1,770 |        132 |          9 |      1,911 |
| src\views\IntelligentControl\baseInfo\page\subpage\controllerMaintain\subpage\deviceInformation                                                                                                  |          1 |        753 |         85 |          5 |        843 |
| src\views\IntelligentControl\baseInfo\page\subpage\controllerMaintain\subpage\piggeryShowerControllerMaintain                                                                                    |          1 |      1,017 |         47 |          4 |      1,068 |
| src\views\IntelligentControl\baseInfo\page\subpage\equipmentParameterTemplate                                                                                                                    |          1 |      2,162 |        252 |          6 |      2,420 |
| src\views\IntelligentControl\baseInfo\page\subpage\fieldWindMachineConfig                                                                                                                        |          4 |      1,788 |        334 |          8 |      2,130 |
| src\views\IntelligentControl\baseInfo\page\subpage\fieldWindMachineConfig\subpage                                                                                                                |          3 |      1,783 |        334 |          7 |      2,124 |
| src\views\IntelligentControl\baseInfo\page\subpage\fieldWindMachineConfig\subpage\configurationManagement                                                                                        |          2 |        989 |        151 |          3 |      1,143 |
| src\views\IntelligentControl\baseInfo\page\subpage\fieldWindMachineConfig\subpage\fanDatabase                                                                                                    |          1 |        794 |        183 |          4 |        981 |
| src\views\IntelligentControl\baseInfo\page\subpage\informationMaintenanceOfBuildingPigHouseController                                                                                            |          5 |      2,285 |        107 |         23 |      2,415 |
| src\views\IntelligentControl\baseInfo\page\subpage\informationMaintenanceOfBuildingPigHouseController\subpage                                                                                    |          4 |      2,280 |        107 |         22 |      2,409 |
| src\views\IntelligentControl\baseInfo\page\subpage\informationMaintenanceOfBuildingPigHouseController\subpage\fanControllerInformationMaintenance                                                |          1 |        733 |         32 |          5 |        770 |
| src\views\IntelligentControl\baseInfo\page\subpage\informationMaintenanceOfBuildingPigHouseController\subpage\mainControllerInformationMaintenance                                               |          2 |        828 |         38 |         12 |        878 |
| src\views\IntelligentControl\baseInfo\page\subpage\informationMaintenanceOfBuildingPigHouseController\subpage\unitControllerInformationMaintenance                                               |          1 |        719 |         37 |          5 |        761 |
| src\views\IntelligentControl\baseInfo\page\subpage\systemAuthority                                                                                                                               |          4 |        703 |         48 |          8 |        759 |
| src\views\IntelligentControl\baseInfo\page\subpage\systemAuthority\subpage                                                                                                                       |          3 |        698 |         48 |          7 |        753 |
| src\views\IntelligentControl\baseInfo\page\subpage\systemAuthority\subpage\dataRights                                                                                                            |          1 |        422 |         30 |          2 |        454 |
| src\views\IntelligentControl\baseInfo\page\subpage\systemAuthority\subpage\rolePermission                                                                                                        |          1 |         13 |          0 |          2 |         15 |
| src\views\IntelligentControl\baseInfo\page\subpage\systemAuthority\subpage\userReverseSearch                                                                                                     |          1 |        263 |         18 |          3 |        284 |
| src\views\IntelligentControl\buildingPigHouse                                                                                                                                                    |         22 |     17,866 |        754 |        221 |     18,841 |
| src\views\IntelligentControl\buildingPigHouse\components                                                                                                                                         |          4 |      1,792 |         33 |          8 |      1,833 |
| src\views\IntelligentControl\buildingPigHouse\components\floor-box                                                                                                                               |          2 |      1,073 |          5 |          4 |      1,082 |
| src\views\IntelligentControl\buildingPigHouse\components\info-box                                                                                                                                |          1 |        241 |          4 |          1 |        246 |
| src\views\IntelligentControl\buildingPigHouse\page                                                                                                                                               |         15 |     12,396 |        671 |        195 |     13,262 |
| src\views\IntelligentControl\buildingPigHouse\page\subpage                                                                                                                                       |         15 |     12,396 |        671 |        195 |     13,262 |
| src\views\IntelligentControl\buildingPigHouse\page\subpage\config                                                                                                                                |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\buildingPigHouse\page\subpage\subordinate                                                                                                                           |          2 |        829 |         22 |         22 |        873 |
| src\views\IntelligentControl\buildingPigHouse\page\subpage\utils                                                                                                                                 |          2 |        222 |          6 |         11 |        239 |
| src\views\IntelligentControl\comfortManager                                                                                                                                                      |          2 |        134 |         11 |          5 |        150 |
| src\views\IntelligentControl\comfortManager\page                                                                                                                                                 |          2 |        134 |         11 |          5 |        150 |
| src\views\IntelligentControl\comfortManager\page\comfortReview                                                                                                                                   |          1 |        131 |         11 |          4 |        146 |
| src\views\IntelligentControl\comfortZoneOverview                                                                                                                                                 |          2 |      2,168 |        105 |         17 |      2,290 |
| src\views\IntelligentControl\comfortZoneOverview\page                                                                                                                                            |          1 |      1,706 |         96 |         10 |      1,812 |
| src\views\IntelligentControl\dataReport                                                                                                                                                          |         30 |      8,108 |        338 |        104 |      8,550 |
| src\views\IntelligentControl\dataReport\components                                                                                                                                               |         16 |      3,856 |        164 |         54 |      4,074 |
| src\views\IntelligentControl\dataReport\components\environment                                                                                                                                   |          3 |        666 |         58 |          9 |        733 |
| src\views\IntelligentControl\dataReport\components\fieldLock                                                                                                                                     |          1 |        392 |         25 |          8 |        425 |
| src\views\IntelligentControl\dataReport\components\fieldParameter                                                                                                                                |          2 |        202 |          7 |          2 |        211 |
| src\views\IntelligentControl\dataReport\components\fieldUnlock                                                                                                                                   |          1 |        397 |         20 |          8 |        425 |
| src\views\IntelligentControl\dataReport\components\humiture                                                                                                                                      |          2 |        584 |         11 |         12 |        607 |
| src\views\IntelligentControl\dataReport\components\onlineCondition                                                                                                                               |          4 |        861 |         25 |         10 |        896 |
| src\views\IntelligentControl\dataReport\components\troubleCondition                                                                                                                              |          2 |        495 |          3 |          3 |        501 |
| src\views\IntelligentControl\dataReport\components\warmHumid                                                                                                                                     |          1 |        259 |         15 |          2 |        276 |
| src\views\IntelligentControl\dataReport\page                                                                                                                                                     |         14 |      4,252 |        174 |         50 |      4,476 |
| src\views\IntelligentControl\dataReport\page\subpage                                                                                                                                             |         13 |      4,249 |        174 |         49 |      4,472 |
| src\views\IntelligentControl\dataReport\page\subpage\jsonData                                                                                                                                    |          3 |      1,401 |          0 |          0 |      1,401 |
| src\views\IntelligentControl\devicesDistributedMap                                                                                                                                               |          5 |      1,824 |        231 |         30 |      2,085 |
| src\views\IntelligentControl\devicesDistributedMap\components                                                                                                                                    |          4 |      1,164 |        125 |         27 |      1,316 |
| src\views\IntelligentControl\devicesDistributedMap\page                                                                                                                                          |          1 |        660 |        106 |          3 |        769 |
| src\views\IntelligentControl\eleMeterExport                                                                                                                                                      |          1 |        217 |         13 |          4 |        234 |
| src\views\IntelligentControl\eleMeterExport\page                                                                                                                                                 |          1 |        217 |         13 |          4 |        234 |
| src\views\IntelligentControl\example                                                                                                                                                             |          4 |      1,140 |         25 |         17 |      1,182 |
| src\views\IntelligentControl\example\page                                                                                                                                                        |          4 |      1,140 |         25 |         17 |      1,182 |
| src\views\IntelligentControl\example\page\echartsView                                                                                                                                            |          1 |        603 |          3 |          8 |        614 |
| src\views\IntelligentControl\example\page\subpage                                                                                                                                                |          2 |        532 |         22 |          8 |        562 |
| src\views\IntelligentControl\example\page\subpage\form                                                                                                                                           |          1 |        391 |         19 |          4 |        414 |
| src\views\IntelligentControl\example\page\subpage\overviewBox                                                                                                                                    |          1 |        141 |          3 |          4 |        148 |
| src\views\IntelligentControl\fieldDeviceOverview                                                                                                                                                 |         43 |     46,662 |      2,932 |        818 |     50,412 |
| src\views\IntelligentControl\fieldDeviceOverview\common                                                                                                                                          |          7 |      2,596 |        146 |         70 |      2,812 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components                                                                                                                               |          6 |      2,354 |         97 |         69 |      2,520 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components\EmptySetup                                                                                                                    |          1 |        387 |         13 |         25 |        425 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components\OverviewBox                                                                                                                   |          1 |        360 |         13 |          6 |        379 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components\OverviewPanel                                                                                                                 |          1 |        243 |         15 |          3 |        261 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components\WarnSetup                                                                                                                     |          1 |        466 |         40 |         22 |        528 |
| src\views\IntelligentControl\fieldDeviceOverview\common\components\viewTable                                                                                                                     |          1 |        436 |          7 |          6 |        449 |
| src\views\IntelligentControl\fieldDeviceOverview\page                                                                                                                                            |         36 |     44,066 |      2,786 |        748 |     47,600 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpage                                                                                                                                    |         11 |     14,633 |        744 |        237 |     15,614 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV3                                                                                                                                  |         12 |     13,556 |        859 |        257 |     14,672 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV3\config                                                                                                                           |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV3\subordinate                                                                                                                      |          1 |        380 |          8 |          9 |        397 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV3\utils                                                                                                                            |          1 |        156 |          6 |         13 |        175 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV4                                                                                                                                  |         11 |     13,427 |        953 |        230 |     14,610 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV4\config                                                                                                                           |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV4\subordinate                                                                                                                      |          1 |        380 |          8 |          9 |        397 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpageV4\utils                                                                                                                            |          1 |        125 |          5 |         15 |        145 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpage\config                                                                                                                             |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpage\subordinate                                                                                                                        |          1 |        524 |         21 |          8 |        553 |
| src\views\IntelligentControl\fieldDeviceOverview\page\subpage\utils                                                                                                                              |          1 |        125 |          4 |         16 |        145 |
| src\views\IntelligentControl\layout                                                                                                                                                              |          7 |        440 |         16 |         25 |        481 |
| src\views\IntelligentControl\layout\components                                                                                                                                                   |          6 |        380 |         12 |         19 |        411 |
| src\views\IntelligentControl\layout\components\Sidebar                                                                                                                                           |          4 |        350 |         12 |         16 |        378 |
| src\views\IntelligentControl\logManagement                                                                                                                                                       |          9 |      2,980 |        399 |         26 |      3,405 |
| src\views\IntelligentControl\logManagement\component                                                                                                                                             |          1 |        181 |          2 |          4 |        187 |
| src\views\IntelligentControl\logManagement\page                                                                                                                                                  |          8 |      2,799 |        397 |         22 |      3,218 |
| src\views\IntelligentControl\logManagement\page\subpage                                                                                                                                          |          7 |      2,765 |        397 |         20 |      3,182 |
| src\views\IntelligentControl\logManagement\page\subpage\alarmLogMerge                                                                                                                            |          1 |        534 |         90 |          2 |        626 |
| src\views\IntelligentControl\logManagement\page\subpage\alarmPush                                                                                                                                |          1 |        590 |         95 |          4 |        689 |
| src\views\IntelligentControl\logManagement\page\subpage\fieldCommand                                                                                                                             |          2 |        390 |         40 |          8 |        438 |
| src\views\IntelligentControl\logManagement\page\subpage\paramReportLog                                                                                                                           |          1 |        345 |         47 |          2 |        394 |
| src\views\IntelligentControl\logManagement\page\subpage\parameterChange                                                                                                                          |          1 |        417 |         40 |          2 |        459 |
| src\views\IntelligentControl\logManagement\page\subpage\siteAlarm                                                                                                                                |          1 |        489 |         85 |          2 |        576 |
| src\views\IntelligentControl\piggeryDeviceOverview                                                                                                                                               |         14 |      7,129 |        853 |        111 |      8,093 |
| src\views\IntelligentControl\piggeryDeviceOverview\common                                                                                                                                        |          5 |      1,543 |         89 |         18 |      1,650 |
| src\views\IntelligentControl\piggeryDeviceOverview\common\components                                                                                                                             |          4 |      1,341 |         41 |         17 |      1,399 |
| src\views\IntelligentControl\piggeryDeviceOverview\common\components\OverviewBox                                                                                                                 |          1 |        341 |         12 |          6 |        359 |
| src\views\IntelligentControl\piggeryDeviceOverview\page                                                                                                                                          |          9 |      5,586 |        764 |         93 |      6,443 |
| src\views\IntelligentControl\piggeryDeviceOverview\page\subpage                                                                                                                                  |          8 |      4,604 |        216 |         86 |      4,906 |
| src\views\IntelligentControl\piggeryDeviceOverview\page\subpage\config                                                                                                                           |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\piggeryDeviceOverview\page\subpage\utils                                                                                                                            |          1 |        130 |          5 |         17 |        152 |
| src\views\IntelligentControl\regionalAlarmMonitoring                                                                                                                                             |         16 |     15,692 |        781 |        283 |     16,756 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common                                                                                                                                      |          5 |      1,519 |         95 |         41 |      1,655 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common\components                                                                                                                           |          4 |      1,287 |         46 |         40 |      1,373 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common\components\EmptySetup                                                                                                                |          1 |        381 |         12 |         25 |        418 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common\components\OverviewBox                                                                                                               |          1 |        340 |         12 |          6 |        358 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common\components\OverviewPanel                                                                                                             |          1 |        243 |         15 |          3 |        261 |
| src\views\IntelligentControl\regionalAlarmMonitoring\common\components\viewTable                                                                                                                 |          1 |        323 |          7 |          6 |        336 |
| src\views\IntelligentControl\regionalAlarmMonitoring\page                                                                                                                                        |         11 |     14,173 |        686 |        242 |     15,101 |
| src\views\IntelligentControl\regionalAlarmMonitoring\page\subpage                                                                                                                                |         10 |     12,423 |        539 |        230 |     13,192 |
| src\views\IntelligentControl\regionalAlarmMonitoring\page\subpage\config                                                                                                                         |          2 |         83 |          0 |          1 |         84 |
| src\views\IntelligentControl\regionalAlarmMonitoring\page\subpage\subordinate                                                                                                                    |          1 |        364 |          8 |         11 |        383 |
| src\views\IntelligentControl\regionalAlarmMonitoring\page\subpage\utils                                                                                                                          |          1 |        120 |          4 |         16 |        140 |
| src\views\IntelligentControl\temperatureDataExport                                                                                                                                               |          1 |        219 |         13 |          4 |        236 |
| src\views\IntelligentControl\temperatureDataExport\page                                                                                                                                          |          1 |        219 |         13 |          4 |        236 |
| src\views\IntelligentControl\unitDataExport                                                                                                                                                      |          1 |        413 |         22 |          5 |        440 |
| src\views\IntelligentControl\unitDataExport\page                                                                                                                                                 |          1 |        413 |         22 |          5 |        440 |
| src\views\IntelligentFeed                                                                                                                                                                        |        472 |     71,596 |      2,472 |        900 |     74,968 |
| src\views\IntelligentFeed\A.Public                                                                                                                                                               |         22 |      1,189 |         50 |         50 |      1,289 |
| src\views\IntelligentFeed\A.Public\page                                                                                                                                                          |          1 |         17 |          0 |          4 |         21 |
| src\views\IntelligentFeed\A.Public\router                                                                                                                                                        |         16 |      1,064 |         21 |         36 |      1,121 |
| src\views\IntelligentFeed\A.Public\router\modules                                                                                                                                                |         15 |      1,041 |         15 |         32 |      1,088 |
| src\views\IntelligentFeed\A.Public\store                                                                                                                                                         |          5 |        108 |         29 |         10 |        147 |
| src\views\IntelligentFeed\IntelligentFeed                                                                                                                                                        |         65 |      6,140 |        339 |         96 |      6,575 |
| src\views\IntelligentFeed\IntelligentFeed\page                                                                                                                                                   |         65 |      6,140 |        339 |         96 |      6,575 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage                                                                                                                                           |         64 |      6,133 |        339 |         95 |      6,567 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\FeedAnalysis                                                                                                                              |          4 |        455 |         21 |          6 |        482 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\FeedAnalysis\config                                                                                                                       |          3 |        267 |          7 |          3 |        277 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\batchFeeding                                                                                                                              |          4 |        307 |         16 |          6 |        329 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\batchFeeding\config                                                                                                                       |          3 |        118 |          4 |          3 |        125 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\containerAllowance                                                                                                                        |          4 |        363 |         22 |          6 |        391 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\containerAllowance\config                                                                                                                 |          3 |        173 |          6 |          3 |        182 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\containerInformation                                                                                                                      |          4 |        463 |         21 |          6 |        490 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\containerInformation\config                                                                                                               |          3 |        274 |          6 |          3 |        283 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedInfoRecord                                                                                                                            |          4 |        369 |         20 |          6 |        395 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedInfoRecord\config                                                                                                                     |          3 |        179 |          6 |          3 |        188 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedInfoReturnRecord                                                                                                                      |          4 |        394 |         55 |          6 |        455 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedInfoReturnRecord\config                                                                                                               |          3 |        192 |         39 |          3 |        234 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedReportForm                                                                                                                            |          4 |        455 |         21 |          6 |        482 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedReportForm\config                                                                                                                     |          3 |        267 |          7 |          3 |        277 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedUnitStat                                                                                                                              |          4 |        160 |         10 |          5 |        175 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\feedUnitStat\config                                                                                                                       |          3 |         90 |          4 |          3 |         97 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\medicineScheme                                                                                                                            |          4 |        321 |         20 |          6 |        347 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\medicineScheme\config                                                                                                                     |          3 |        136 |          6 |          3 |        145 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\schedulingRecord                                                                                                                          |          4 |        335 |         18 |          6 |        359 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\schedulingRecord\config                                                                                                                   |          3 |        144 |          6 |          3 |        153 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\sendFeedSimulation                                                                                                                        |          4 |        455 |         21 |          6 |        482 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\sendFeedSimulation\config                                                                                                                 |          3 |        267 |          7 |          3 |        277 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\simulationFieldentry                                                                                                                      |          4 |        455 |         21 |          6 |        482 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\simulationFieldentry\config                                                                                                               |          3 |        267 |          7 |          3 |        277 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\simulationLog                                                                                                                             |          4 |        499 |         19 |          6 |        524 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\simulationLog\config                                                                                                                      |          3 |        244 |          7 |          3 |        254 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\transferStationBalance                                                                                                                    |          4 |        385 |         18 |          6 |        409 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\transferStationBalance\config                                                                                                             |          3 |        191 |          6 |          3 |        200 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\transferStationLoading                                                                                                                    |          4 |        387 |         18 |          6 |        411 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\transferStationLoading\config                                                                                                             |          3 |        191 |          6 |          3 |        200 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\unitDemand                                                                                                                                |          4 |        330 |         18 |          6 |        354 |
| src\views\IntelligentFeed\IntelligentFeed\page\subpage\unitDemand\config                                                                                                                         |          3 |        138 |          6 |          3 |        147 |
| src\views\IntelligentFeed\accessorySupplement                                                                                                                                                    |          5 |        824 |         25 |          7 |        856 |
| src\views\IntelligentFeed\accessorySupplement\page                                                                                                                                               |          5 |        824 |         25 |          7 |        856 |
| src\views\IntelligentFeed\accessorySupplement\page\subpage                                                                                                                                       |          4 |        817 |         25 |          6 |        848 |
| src\views\IntelligentFeed\accessorySupplement\page\subpage\supplementInfo                                                                                                                        |          4 |        817 |         25 |          6 |        848 |
| src\views\IntelligentFeed\accessorySupplement\page\subpage\supplementInfo\config                                                                                                                 |          2 |        332 |          5 |          2 |        339 |
| src\views\IntelligentFeed\accessorySupplement\page\subpage\supplementInfo\detail                                                                                                                 |          1 |        296 |          5 |          1 |        302 |
| src\views\IntelligentFeed\baseInfoMaintain                                                                                                                                                       |         70 |     13,720 |        371 |        112 |     14,203 |
| src\views\IntelligentFeed\baseInfoMaintain\page                                                                                                                                                  |         70 |     13,720 |        371 |        112 |     14,203 |
